,PLAYER,POS,AGE,TEAM,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SEASON,VALUE
4,Aaron Gordon,PF,25,DEN,66.28571428571429,50,27.65,4.6,9.95,0.4402142857142857,1.3714285714285714,3.55,0.3380281690140845,3.4,6.45,0.5271317829457364,0.5226130653266331,1.9,3.0,0.6920000000000001,1.55,4.15,7.628571428571428,3.6000000000000005,0.7857142857142857,0.7,1.7571428571428573,1.8,15.085714285714285,2020-21,0.8822336041783096
4,Alex Len,C,27,TOR,62.285714285714285,42,15.2640625,2.659375,4.339062500000001,0.5418540031397173,0.49025974025974023,0.365625,0.3632478632478633,2.5265625,3.984375,0.6341176470588235,0.628195894850558,1.1124999999999998,1.790625,0.6574203296703297,1.246875,2.846875,5.888311688311688,1.001948051948052,0.4116883116883117,0.9890625,1.1103896103896103,2.0234375,8.88051948051948,2020-21,-0.7762984030613033
4,Andre Drummond,C,27,CLE,64.78571428571429,46,27.028260869565216,6.15,12.415217391304346,0.5304364332066965,0.07368421052631577,0.1630434782608695,0.0,6.15,12.252173913043478,0.5019517388218595,0.4953598319033445,2.6891304347826086,4.469565217391304,0.5769460641399417,3.5891304347826085,8.35,15.333082706766918,2.3240601503759395,1.8334586466165415,1.1086956521739129,3.128571428571429,3.2565217391304344,17.430075187969923,2020-21,2.8972320523227637
4,Austin Rivers,SG,28,DEN,69.78571428571429,7,23.458333333333336,2.925,6.775,0.416406640615215,1.4421052631578948,4.158333333333333,0.3627254509018036,1.3583333333333334,2.675,0.5077881619937695,0.5430504305043049,0.625,0.8666666666666667,0.6495140715815234,0.2,2.041666666666667,2.4402255639097743,2.0030075187969922,0.7071428571428571,0.0416666666666666,0.8330827067669172,1.75,9.057894736842105,2020-21,-0.005113380466426565
4,Avery Bradley,SG,30,HOU,52.785714285714285,6,22.296296296296298,2.344444444444444,6.348148148148148,0.43137264795080593,1.349240855762595,3.737037037037037,0.3270564915758176,1.1222222222222222,2.611111111111111,0.4297872340425532,0.4655775962660443,0.4481481481481481,0.5851851851851853,0.8309130651881952,0.3259259259259259,1.7888888888888888,2.4589371980676327,1.6813319530710835,0.8573844030365769,0.1,1.1914768806073153,2.033333333333333,9.390407177363699,2020-21,-1.8901543308164546
4,Ben McLemore,SG,27,HOU,55.07142857142857,5,17.077358490566038,2.5396226415094336,6.881132075471698,0.4272142857142857,1.9357142857142857,5.279245283018868,0.3445318084345961,0.7207547169811321,1.6018867924528302,0.4499411071849234,0.5012338908692076,0.739622641509434,1.0,0.7292857142857143,0.260377358490566,1.581132075471698,1.8499999999999999,0.6357142857142858,0.5214285714285714,0.1792452830188679,0.6142857142857142,1.679245283018868,8.142857142857142,2020-21,-1.3261496218642403
4,Blake Griffin,PF,31,BRK,37.142857142857146,30,25.76086956521739,3.817391304347826,8.952173913043477,0.38944867193108396,1.8142857142857143,4.447826086956521,0.3479960899315738,2.269565217391304,4.504347826086956,0.5038610038610039,0.51287032540068,1.917391304347826,2.534782608695652,0.7704586420291119,0.7956521739130434,4.165217391304347,5.688546798029557,4.074630541871921,0.5060344827586206,0.3260869565217391,2.5876847290640397,2.4391304347826086,18.492364532019703,2020-21,1.8272993155307269
4,Bojan Bogdanović,SF,31,UTA,69.35714285714286,73,26.57865168539326,4.759550561797752,10.966292134831464,0.4632142857142857,2.6357142857142857,5.635955056179776,0.3961323763955343,2.546067415730337,5.330337078651686,0.4776559865092748,0.5358094262295081,2.646067415730337,3.050561797752809,0.8730714285714286,0.5617977528089887,2.9179775280898874,4.05,2.028571428571429,0.6285714285714287,0.1191011235955056,2.185714285714286,1.6191011235955055,19.15,2020-21,4.069580420420175
4,Caris LeVert,SG,26,BRK,45.42857142857143,39,31.59787234042553,7.672340425531914,17.29574468085106,0.42685714285714277,1.5857142857142856,5.523404255319148,0.3258859784283514,5.846808510638297,11.846808510638295,0.4935344827586206,0.4956329191782507,3.093617021276596,3.842553191489362,0.7052857142857142,0.7255319148936169,3.872340425531915,4.05,4.242857142857143,1.1714285714285713,0.6489361702127658,2.3142857142857145,2.2212765957446807,16.8,2020-21,5.837867907508009
4,Carmelo Anthony,PF,36,POR,45.714285714285715,26,26.84818181818182,4.923636363636364,11.85909090909091,0.421,1.7214285714285715,5.706363636363637,0.404811215548829,2.6136363636363638,6.115454545454545,0.4273821911699123,0.5125718666155615,1.7763636363636364,2.050909090909091,0.7928571428571428,0.5,2.264545454545454,6.007142857142857,1.2,0.6714285714285715,0.4136363636363637,1.4142857142857141,1.8763636363636365,14.885714285714284,2020-21,5.785532135626345
