PLAYER,AGE,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,VALUE
Bojan Bogdanović,31,73.2395410264951,73,26.57865168539326,4.759550561797752,10.966292134831464,0.4705659546523373,2.393619572210664,5.635955056179776,0.3961323763955343,2.546067415730337,5.330337078651686,0.4776559865092748,0.5358094262295081,2.646067415730337,3.050561797752809,0.8618148543479858,0.5617977528089887,2.9179775280898874,3.931173331571764,1.9211832893213012,0.6846687419403393,0.1191011235955056,1.937717752201338,1.6191011235955055,18.02665333582023,3.8411116237127665
Caris LeVert,26,49.56529794032392,39,31.59787234042553,7.672340425531914,17.29574468085106,0.4287761350585832,1.450642600620247,5.523404255319148,0.3258859784283514,5.846808510638297,11.846808510638295,0.4935344827586206,0.4956329191782507,3.093617021276596,3.842553191489362,0.7041783724519578,0.7255319148936169,3.872340425531915,3.942976971590416,4.18122312031945,1.1658918622597891,0.6489361702127658,2.1965543783791097,2.2212765957446807,15.40279881066609,6.863901797738871
Cory Joseph,29,77.82262332299588,13,22.97777777777777,3.163492063492064,6.785714285714287,0.4161473844618709,0.7658918622597891,2.0698412698412696,0.3381901840490798,2.433333333333333,4.6460317460317455,0.5237444482405194,0.5177777777777778,1.1317460317460315,1.4317460317460318,0.775755794044547,0.5698412698412698,1.9714285714285715,3.0175736748601745,3.5640782644916,0.9087868374300871,0.2904761904761904,1.0658918622597893,2.2,6.79587957008643,2.6368084895334096
D.J. Augustin,33,69.52721024580524,12,19.82631578947368,2.356140350877193,6.042105263157895,0.4359993684051161,1.4087868374300874,3.8157894736842106,0.3774712643678161,0.9157894736842104,2.226315789473684,0.4113475177304964,0.5091463414634146,1.526315789473684,1.66140350877193,0.8765080659346048,0.3701754385964912,1.3456140350877193,2.236432550960844,4.645812200263492,0.6241180954897478,0.0,1.5582262332299588,1.0052631578947369,10.836943366413283,2.0331487807033444
D.J. Wilson,24,37.13418082796101,1,12.414285714285716,1.957142857142857,4.782857142857143,0.4415812089257161,0.5740683067420628,2.4971428571428573,0.3466819221967963,1.0914285714285714,2.3514285714285714,0.4641555285540705,0.4997013142174432,0.4942857142857143,0.7257142857142858,0.5644461941170575,0.5628571428571428,2.588571428571429,2.73390898274947,0.691723978022356,0.2023244132206326,0.4314285714285714,0.4958619890111779,1.2314285714285715,3.723308547551193,-2.0583649036507854
Damian Jones,25,34.77923910463546,10,14.03846153846154,1.8025641025641024,2.612820512820513,0.6488663577049296,0.0,0.123076923076923,0.3541666666666667,1.758974358974359,2.525641025641025,0.6964467005076143,0.6982335623159961,1.0846153846153848,1.5102564102564104,0.6743607856353602,0.9076923076923076,2.1974358974358976,2.820044499845793,0.6840583489925257,0.4035276180410083,0.7641025641025642,0.5199800845009259,1.9923076923076923,4.591178000419409,-1.9478656636587655
Daniel Theis,28,64.85871946760714,51,24.67692307692308,3.870769230769232,7.183076923076924,0.5541720927117272,0.4176556712802932,2.370769230769231,0.3225178455548345,3.1061538461538465,4.847692307692308,0.6407489685814028,0.5920968087384877,1.1353846153846154,1.706153846153846,0.7517200746385704,1.4415384615384617,4.070769230769232,4.9538233960490485,1.2682982719005405,0.4735574912896194,0.8584615384615385,0.7217936822691153,2.581538461538462,7.065609454992449,1.9613440705217222
DeMarcus Cousins,30,46.269064898932086,11,17.351219512195122,3.2,7.424390243902439,0.4701711773073931,1.5591287558365985,3.273170731707317,0.3576751117734724,2.029268292682927,4.190243902439024,0.4842840512223517,0.5098554533508541,1.4487804878048782,2.009756097560976,0.7478126995276942,1.278048780487805,5.11219512195122,10.48441867137529,4.452112672285057,1.4321370590343487,0.5829268292682928,3.6130758174540167,2.6487804878048777,21.915590529184858,0.9612616026663225
Delon Wright,28,72.7174389352143,39,27.74285714285714,3.842857142857144,8.185714285714285,0.4526287051884481,0.6718844998127087,2.757142857142857,0.3730569948186528,2.771428571428572,5.5285714285714285,0.5012919896640827,0.5322862129144852,1.6142857142857143,1.985714285714285,0.7971036446327427,1.0,3.242857142857143,3.504715811374718,3.194886889813488,1.1322084767161165,0.4571428571428571,1.038670900925571,1.2142857142857144,7.791979234467369,4.8726161632037766
Dennis Smith,23,48.92187959205184,9,18.256521739130434,2.526086956521739,6.343478260869565,0.3833699448381981,0.9870169665344708,2.5173913043478264,0.3454231433506044,1.743478260869565,3.8260869565217375,0.4556818181818182,0.4667580534612748,0.8304347826086955,1.1304347826086956,0.5968026004801856,0.5217391304347826,1.917391304347826,2.873499306243,4.080890121192978,1.01877687968055,0.608695652173913,2.375240253038441,1.6478260869565216,10.606719267843411,0.3730098337955212
